COUNTRIES,REGION,CLUSTER,AREA
CHINA,INTERCONTINENTAL,INDIA & REST OF ASPAC,CHINA
HONG KONG,INTERCONTINENTAL,INDIA & REST OF ASPAC,HONG KONG
ASEAN,INTERCONTINENTAL,ASEAN,ASEAN
INDIA,INTERCONTINENTAL,INDIA & REST OF ASPAC,INDIA
OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA
REST OF ASPAC SOUTH,INTERCONTINENTAL,INDIA & REST OF ASPAC,REST OF ASPAC SOUTH
MAGHREB,INTERCONTINENTAL,MEA,MAGHREB
SOUTH AFRICA,INTERCONTINENTAL,MEA,SOUTH AFRICA
EXPORT SOUTH AFRICA,INTERCONTINENTAL,MEA,EXPORT SOUTH AFRICA
WEST & CENTRAL AFRICA,INTERCONTINENTAL,MEA,WEST & CENTRAL AFRICA
EAST & OTHER AFRICA,INTERCONTINENTAL,MEA,EAST & OTHER AFRICA
GULF,INTERCONTINENTAL,MEA,GULF
SAUDI ARABIA,INTERCONTINENTAL,MEA,SAUDI ARABIA
LEVANT,INTERCONTINENTAL,MEA,LEVANT
ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ALMATY
UKRAINE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,UKRAINE
DACH,EUROPE-PACIFIC,DACH,DACH
POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND
BELUX,EUROPE-PACIFIC,EUROPE NORTH,BENELUX
NETHERLANDS,EUROPE-PACIFIC,EUROPE NORTH,BENELUX
GREAT BRITAIN,EUROPE-PACIFIC,EUROPE NORTH,GREAT BRITAIN
NORD,EUROPE-PACIFIC,EUROPE NORTH,NORD
UK,EUROPE-PACIFIC,EUROPE NORTH,UK & IRELAND
IRELAND,EUROPE-PACIFIC,EUROPE NORTH,UK & IRELAND
FRANCE,EUROPE-PACIFIC,EUROPE NORTH,FRANCE
GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE
HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY
IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA
ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY
BRAZIL,INTERCONTINENTAL,LATAM,BRAZIL
MEXICO,INTERCONTINENTAL,LATAM,MEXICO
NOLA,INTERCONTINENTAL,LATAM,NORTH LATAM
CHILE,INTERCONTINENTAL,LATAM,SOUTH LATAM
LA PLATA,INTERCONTINENTAL,LATAM,SOUTH LATAM
PERU & BOLIVIA,INTERCONTINENTAL,LATAM,NORTH LATAM
CANADA,NORTH AMERICA,NORTH AMERICA,CANADA
USA,NORTH AMERICA,NORTH AMERICA,USA
ISRAEL,INTERCONTINENTAL,MEA,SOUTH AFRICA
REST OF WORLD OTHERS,INTERCONTINENTAL,MEA,SOUTH AFRICA
IRAN,INTERCONTINENTAL,MEA,GULF
RUSSIA,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ALMATY
