Year,Quarter,YearQuarter,Quarter_Index
2026,Q1,2026-Q1,1
2026,Q2,2026-Q2,2
2026,Q3,2026-Q3,3
2026,Q4,2026-Q4,4
2024,Q3,2024-Q3,3
2017,Q1,2017-Q1,1
2024,Q4,2024-Q4,4
2018,Q2,2018-Q2,2
2023,Q4,2023-Q4,4
2018,Q1,2018-Q1,1
2020,Q4,2020-Q4,4
2022,Q4,2022-Q4,4
2014,Q4,2014-Q4,4
2023,Q1,2023-Q1,1
2023,Q3,2023-Q3,3
2020,Q3,2020-Q3,3
2021,Q2,2021-Q2,2
2019,Q1,2019-Q1,1
2021,Q4,2021-Q4,4
2024,Q1,2024-Q1,1
2022,Q1,2022-Q1,1
2019,Q4,2019-Q4,4
2018,Q4,2018-Q4,4
2019,Q3,2019-Q3,3
2020,Q1,2020-Q1,1
2015,Q4,2015-Q4,4
2016,Q2,2016-Q2,2
2018,Q3,2018-Q3,3
2017,Q3,2017-Q3,3
2016,Q3,2016-Q3,3
2021,Q1,2021-Q1,1
2023,Q2,2023-Q2,2
2022,Q3,2022-Q3,3
2016,Q4,2016-Q4,4
2017,Q2,2017-Q2,2
2016,Q1,2016-Q1,1
2019,Q2,2019-Q2,2
2020,Q2,2020-Q2,2
2013,Q4,2013-Q4,4
2024,Q2,2024-Q2,2
2014,Q3,2014-Q3,3
2014,Q1,2014-Q1,1
2021,Q3,2021-Q3,3
2022,Q2,2022-Q2,2
2014,Q2,2014-Q2,2
2015,Q3,2015-Q3,3
2017,Q4,2017-Q4,4
2015,Q2,2015-Q2,2
2013,Q2,2013-Q2,2
2015,Q1,2015-Q1,1
2013,Q3,2013-Q3,3
2025,Q3,2025-Q3,3
2012,Q1,2012-Q1,1
2012,Q4,2012-Q4,4
2025,Q4,2025-Q4,4
2013,Q1,2013-Q1,1
2012,Q3,2012-Q3,3
2012,Q2,2012-Q2,2
2025,Q1,2025-Q1,1
2025,Q2,2025-Q2,2
2027,Q1,2027-Q1,1
2027,Q4,2027-Q4,4
2030,Q1,2030-Q1,1
2028,Q1,2028-Q1,1
2027,Q3,2027-Q3,3
2028,Q3,2028-Q3,3
2027,Q2,2027-Q2,2
2029,Q4,2029-Q4,4
2029,Q1,2029-Q1,1
2028,Q2,2028-Q2,2
2029,Q2,2029-Q2,2
