IMG SubReg,AREA,REGION,CLUSTER
UK,UK & IRELAND,EUROPE-PACIFIC,EUROPE NORTH
NORD,NORD,EUROPE-PACIFIC,EUROPE NORTH
NETHERLANDS,BENELUX,EUROPE-PACIFIC,EUROPE NORTH
BELUX,BENELUX,EUROPE-PACIFIC,EUROPE NORTH
DACH,DACH,EUROPE-PACIFIC,DACH
GULF,GULF,INTERCONTINENTAL,MEA
LEVANT,LEVANT,INTERCONTINENTAL,MEA
UKRAINE,UKRAINE,EUROPE-PACIFIC,EUROPE EAST & SOUTH
GREECE,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH
HUNGARY,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH
ITALY,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH
IBERIA,IBERIA,EUROPE-PACIFIC,IBERIA
POLAND,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH
FRANCE,FRANCE,EUROPE-PACIFIC,EUROPE NORTH
PERU & BOLIVIA,NORTH LATAM,INTERCONTINENTAL,LATAM
LA PLATA,SOUTH LATAM,INTERCONTINENTAL,LATAM
NOLA,NORTH LATAM,INTERCONTINENTAL,LATAM
CHILE,SOUTH LATAM,INTERCONTINENTAL,LATAM
BRAZIL,BRAZIL,INTERCONTINENTAL,LATAM
MEXICO,MEXICO,INTERCONTINENTAL,LATAM
OCEANIA,OCEANIA,EUROPE-PACIFIC,OCEANIA
ASEAN,ASEAN,INTERCONTINENTAL,ASEAN
USA,USA,NORTH AMERICA,NORTH AMERICA
SOUTH AFRICA,SOUTH AFRICA,INTERCONTINENTAL,MEA
SAUDI ARABIA,SAUDI ARABIA,INTERCONTINENTAL,MEA
EAST & OTHER AFRICA,EAST & OTHER AFRICA,INTERCONTINENTAL,MEA
WEST & CENTRAL AFRICA,WEST & CENTRAL AFRICA,INTERCONTINENTAL,MEA
ALMATY,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH
INDIA,INDIA,INTERCONTINENTAL,INDIA & REST OF ASPAC
CANADA,CANADA,NORTH AMERICA,NORTH AMERICA
REST OF ASPAC SOUTH,REST OF ASPAC SOUTH,INTERCONTINENTAL,INDIA & REST OF ASPAC
EXPORT SOUTH AFRICA,EXPORT SOUTH AFRICA,INTERCONTINENTAL,MEA
MAGHREB,MAGHREB,INTERCONTINENTAL,MEA
RUSSIA,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH
REST OF WORLD OTHERS,SOUTH AFRICA,INTERCONTINENTAL,MEA
IRAN,GULF,INTERCONTINENTAL,MEA
HONG KONG,HONG KONG,INTERCONTINENTAL,INDIA & REST OF ASPAC
CHINA,CHINA,INTERCONTINENTAL,INDIA & REST OF ASPAC
