IMG SubReg,REGION,CLUSTER,AREA
UK,EUROPE-PACIFIC,EUROPE NORTH,UK & IRELAND
NORD,EUROPE-PACIFIC,EUROPE NORTH,NORD
NETHERLANDS,EUROPE-PACIFIC,EUROPE NORTH,BENELUX
BELUX,EUROPE-PACIFIC,EUROPE NORTH,BENELUX
DACH,EUROPE-PACIFIC,DACH,DACH
GULF,INTERCONTINENTAL,MEA,GULF
LEVANT,INTERCONTINENTAL,MEA,LEVANT
UKRAINE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,UKRAINE
GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE
HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY
ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY
IBERIA,EUROPE-PACIFIC,IBERIA,IBERIA
POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND
FRANCE,EUROPE-PACIFIC,EUROPE NORTH,FRANCE
PERU & BOLIVIA,INTERCONTINENTAL,LATAM,NORTH LATAM
LA PLATA,INTERCONTINENTAL,LATAM,SOUTH LATAM
NOLA,INTERCONTINENTAL,LATAM,NORTH LATAM
CHILE,INTERCONTINENTAL,LATAM,SOUTH LATAM
BRAZIL,INTERCONTINENTAL,LATAM,BRAZIL
MEXICO,INTERCONTINENTAL,LATAM,MEXICO
OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA
ASEAN,INTERCONTINENTAL,ASEAN,ASEAN
USA,NORTH AMERICA,NORTH AMERICA,USA
SOUTH AFRICA,INTERCONTINENTAL,MEA,SOUTH AFRICA
SAUDI ARABIA,INTERCONTINENTAL,MEA,SAUDI ARABIA
EAST & OTHER AFRICA,INTERCONTINENTAL,MEA,EAST & OTHER AFRICA
WEST & CENTRAL AFRICA,INTERCONTINENTAL,MEA,WEST & CENTRAL AFRICA
ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ALMATY
INDIA,INTERCONTINENTAL,INDIA & REST OF ASPAC,INDIA
CANADA,NORTH AMERICA,NORTH AMERICA,CANADA
REST OF ASPAC SOUTH,INTERCONTINENTAL,INDIA & REST OF ASPAC,REST OF ASPAC SOUTH
EXPORT SOUTH AFRICA,INTERCONTINENTAL,MEA,EXPORT SOUTH AFRICA
MAGHREB,INTERCONTINENTAL,MEA,MAGHREB
